# File: A62.subsector_interp.csv
# Title: dac subsector shareweight interpolation
# Units: NA
# Column types: ccccccc
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
CO2 removal,dac,share-weight,start-year,end-year,,fixed
process heat dac,gas CCS,share-weight,start-year,end-year,,fixed
